Year,State,Region,Population,Mortality,,Bchecks,,,,,,,,,,,,,,
2011,Kentucky,South Region,4369356,601,"2,280,832",2280.832,,,,,,,,,,,,,,
2011,Louisiana,South Region,4574836,859,"264,552",264.552,,,,,,,,,,,,,,
2011,Maine,Northeast Region,1328188,128,"73,127",73.127,,,,,,,,,,,,,,
2011,Maryland,South Region,5828289,518,"103,020",103.02,,,,,,,,,,,,,,
2011,Massachusetts,Northeast Region,6587536,244,"153,487",153.487,,,,,,,,,,,,,,
2011,Michigan,Midwest Region,9876187,1142,"356,635",356.635,,,,,,,,,,,,,,
2011,Minnesota,Midwest Region,5344861,381,"337,534",337.534,,,,,,,,,,,,,,
2011,Mississippi,South Region,2978512,518,"185,059",185.059,,,,,,,,,,,,,,
2011,Missouri,Midwest Region,6010688,849,"394,923",394.923,,,,,,,,,,,,,,
2011,Montana,West Region,998199,163,"108,974",108.974,,,,,,,,,,,,,,
2011,Nebraska,Midwest Region,1842641,152,"65,860",65.86,,,,,,,,,,,,,,
2011,Nevada,West Region,2723322,356,"118,740",118.74,,,,,,,,,,,,,,
2011,New Hampshire,Northeast Region,1318194,85,"90,984",90.984,,,,,,,,,,,,,,
2011,New Jersey,Northeast Region,8821155,469,"60,256",60.256,,,,,,,,,,,,,,
2011,New Mexico,West Region,2082224,294,"115,620",115.62,,,,,,,,,,,,,,
2011,New York,Northeast Region,19465197,971,"271,837",271.837,,,,,,,,,,,,,,
2011,North Carolina,South Region,9656401,1146,"375,211",375.211,,,,,,,,,,,,,,
2011,North Dakota,Midwest Region,683932,51,"61,032",61.032,,,,,,,,,,,,,,
2011,Ohio,Midwest Region,11544951,1207,"468,974",468.974,,,,,,,,,,,,,,
2011,Oklahoma,South Region,3791508,624,"271,816",271.816,,,,,,,,,,,,,,
2011,Oregon,West Region,3871859,405,"209,781",209.781,,,,,,,,,,,,,,
2011,Pennsylvania,Northeast Region,12742886,1426,"718,934",718.934,,,,,,,,,,,,,,
2011,Rhode Island,Northeast Region,1051302,32,"17,271",17.271,,,,,,,,,,,,,,
2011,South Carolina,South Region,4679230,696,"229,419",229.419,,,,,,,,,,,,,,
2011,South Dakota,Midwest Region,824082,60,"69,654",69.654,,,,,,,,,,,,,,
2011,Tennessee,South Region,6403353,941,"451,107",451.107,,,,,,,,,,,,,,
2011,Texas,South Region,25674681,2574,"1,155,387",1155.387,,,,,,,,,,,,,,
2011,Utah,West Region,2817222,295,"1,020,789",1020.789,,,,,,,,,,,,,,
2011,Vermont,Northeast Region,626431,70,"27,292",27.292,,,,,,,,,,,,,,
2011,Virginia,South Region,8096604,846,"331,468",331.468,,,,,,,,,,,,,,
2011,Washington,West Region,6830038,583,"394,410",394.41,,,,,,,,,,,,,,
2011,West Virginia,South Region,1855364,261,"185,491",185.491,,,,,,,,,,,,,,
2011,Wisconsin,Midwest Region,5711767,437,"322,761",322.761,,,,,,,,,,,,,,
2011,Wyoming,West Region,568158,96,"52,224",52.224,,,,,,,,,,,,,,
